Model,Params,CV_Score
RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.5118097422542204
RandomForest,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.5118097422542204
RandomForest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.511158143720682
RandomForest,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 100}",0.511158143720682
RandomForest,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 200}",0.511158143720682
SVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.511158143720682
SVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.511158143720682
SVM,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.511158143720682
SVM,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.511158143720682
SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.5232125174879012
SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.511158143720682
SVM,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.5232125174879012
SVM,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.511158143720682
SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.5232125174879012
SVM,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.5127869409512887
SVM,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.5232125174879012
SVM,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.511158143720682
